Business Service,Feature,SLI,SLO,Active/Production,Priority,Data Source,Metric Type,Success Metric,Total Metric,Owners,Comments
CDC OnPrem,Disk Usage,Disk usage percentage,< 50%,Yes,P1,Prometheus,Availability,Hosts with disk usage < 50%,Total hosts,Platform Team,Critical for system stability
CDC OnPrem,Disk Usage Trend,Disk usage growth rate,< 10% increase in 3 hours,Yes,P1,Prometheus,Latency,Stable disk usage,Total monitoring period,Platform Team,Early warning for capacity issues
CDC OnPrem,CPU Usage,CPU usage percentage,< 60%,Yes,P1,Prometheus,Availability,Hosts with CPU usage < 60%,Total hosts,Platform Team,Performance threshold
CDC OnPrem,CPU Usage Trend,CPU usage growth rate,< 20% increase in 1 hour,Yes,P1,Prometheus,Latency,Stable CPU usage,Total monitoring period,Platform Team,Performance degradation detection
CDC OnPrem,Memory Usage,Memory usage percentage,< 50%,Yes,P1,Prometheus,Availability,Hosts with memory usage < 50%,Total hosts,Platform Team,Memory pressure threshold
CDC OnPrem,Memory Usage Trend,Memory usage growth rate,< 15% increase in 1 hour,Yes,P1,Prometheus,Latency,Stable memory usage,Total monitoring period,Platform Team,Memory leak detection
CDC Flow,Flow Availability,Flows in Online status,> 90%,Yes,P1,Prometheus,Availability,Flows in Online status,Total flows,CDC Team,Core business metric
CDC Flow,Flow Configuration,Flows not in Pending Config Push,> 95%,Yes,P1,Prometheus,Availability,Flows not pending config,Total flows,CDC Team,Configuration management
CDC Flow,Flow Review Status,Flows not in Review Details,> 98%,Yes,P2,Prometheus,Availability,Flows not in review,Total flows,CDC Team,Operational efficiency
CDC Flow,Flow Enablement,Flows not Disabled,> 95%,Yes,P2,Prometheus,Availability,Enabled flows,Total flows,CDC Team,Service utilization
CDC Flow,Flow Data Activity,Flows with data activity,> 99%,Yes,P1,Prometheus,Availability,Active flows,Total online flows,CDC Team,Data processing health
CDC Flow,Stale Flow Detection,Flows without data in 24h,< 1%,Yes,P2,Prometheus,Availability,Active flows in 24h,Total flows,CDC Team,Data pipeline monitoring
CDC OnPrem,Host Availability,Healthy hosts,> 95%,Yes,P1,Prometheus,Availability,Healthy hosts,Total hosts,Platform Team,Infrastructure health
CDC OnPrem,Host Connectivity,Connected hosts,> 98%,Yes,P1,Prometheus,Availability,Connected hosts,Total hosts,Platform Team,Network connectivity
CDC OnPrem,Host Review Status,Hosts not in Review Details,> 90%,Yes,P2,Prometheus,Availability,Hosts not in review,Total hosts,Platform Team,Operational status
CDC OnPrem,Resource Adequacy,Hosts with adequate resources,> 80%,Yes,P2,Prometheus,Availability,Hosts with > 4 cores > 8GB RAM > 128GB disk,Total hosts,Platform Team,Capacity planning
