Business Service,Feature,SLI,SLO,Active/Production,Priority,Data Source,Metric Type,SLI Type,Success Metric,Total Metric,Owners,Comments
CDC OnPrem,Disk Usage Dashboard,Disk usage percentage,< 80%,Yes,P1,Prometheus,Counter,Availability,"count((onprem_cdc_volume_used_percent{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""}) < 80)","count(onprem_cdc_volume_used_percent{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})",CDC Team,Critical for system stability
,,Disk usage growth rate,< 10% increase in 3 hours,P1,Yes,Prometheus,Counter,Latency,"count(rate((onprem_cdc_volume_used_percent{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})[3h:10m]) < 0.1)","count(onprem_cdc_volume_used_percent{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})",CDC Team,Early warning for capacity issues
,CPU Usage Dashboard,CPU usage percentage,< 90%,P1,Yes,Prometheus,Counter,Availability,"count((onprem_cpu_percentage{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""}) < 90)","count(onprem_cpu_percentage{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})",CDC Team,Performance threshold
,,CPU usage growth rate,< 20% increase in 1 hour,P1,Yes,Prometheus,Counter,Latency,"count(rate((onprem_cpu_percentage{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})[1h:5m]) < 0.2)","count(onprem_cpu_percentage{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})",CDC Team,Performance degradation detection
,Memory Usage Dashboard,Memory usage percentage,< 90%,P1,Yes,Prometheus,Counter,Availability,"count((onprem_host_memory_usage_used{account_id=~""$account_id"", ophid=~""$ophid""} / onprem_host_memory_usage_total{account_id=~""$account_id"", ophid=~""$ophid""} * 100 * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""}) < 90)","count(onprem_host_memory_usage_used{account_id=~""$account_id"", ophid=~""$ophid""} / onprem_host_memory_usage_total{account_id=~""$account_id"", ophid=~""$ophid""} * 100 * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})",CDC Team,Memory pressure threshold
,,Memory usage growth rate,< 15% increase in 1 hour,P1,Yes,Prometheus,Counter,Latency,"count(rate(onprem_host_memory_usage_used{account_id=~""$account_id"", ophid=~""$ophid""}[1h]) / onprem_host_memory_usage_total{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""} < 0.15)","count(onprem_host_memory_usage_used{account_id=~""$account_id"", ophid=~""$ophid""} / onprem_host_memory_usage_total{account_id=~""$account_id"", ophid=~""$ophid""} * on(ophid) group_left(service) onprem_host_service_status{service=~""cdc.*""})",CDC Team,Memory leak detection
,Host Details Dashboard,Healthy hosts,> 95%,P1,Yes,Prometheus,Counter,Availability,"count(count by(ophid) (onprem_host_service_status{account_id=~""$account_id"", ophid=~""$ophid"", service=~""cdc.*""} == 1))","count(count by(ophid) (onprem_host_service_status{account_id=~""$account_id"", ophid=~""$ophid"", service=~""cdc.*""}))",CDC Team,Infrastructure health
,,Connected hosts,> 98%,P1,Yes,Prometheus,Counter,Availability,"count(count by(ophid) (onprem_host_service_status{account_id=~""$account_id"", ophid=~""$ophid"", service=~""cdc.*""} > 0))","count(count by(ophid) (onprem_host_service_status{account_id=~""$account_id"", ophid=~""$ophid"", service=~""cdc.*""}))",CDC Team,Network connectivity
,,Hosts not in Review Details,> 90%,P2,Yes,Prometheus,Counter,Availability,"count(count by(ophid) (onprem_host_service_status{account_id=~""$account_id"", ophid=~""$ophid"", service=~""cdc.*""} != 0))","count(count by(ophid) (onprem_host_service_status{account_id=~""$account_id"", ophid=~""$ophid"", service=~""cdc.*""}))",CDC Team,Operational status
,,Hosts with adequate resources,> 80%,P2,Yes,Prometheus,Counter,Availability,"count(onprem_host_cpu_cores{account_id=~""$account_id"", ophid=~""$ophid""} > 4 and onprem_host_memory_usage_total{account_id=~""$account_id"", ophid=~""$ophid""} > 8589934592 and onprem_host_disk_total{account_id=~""$account_id"", ophid=~""$ophid""} > 137438953472 and on(ophid) onprem_host_service_status{service=~""cdc.*""})","count(count by(ophid) (onprem_host_service_status{account_id=~""$account_id"", ophid=~""$ophid"", service=~""cdc.*""}))",CDC Team,Capacity planning
,Onprem Pod Details Dashboard,Pods without CrashLoopBackOff,100%,P1,No,Prometheus,Counter,Availability,"count(kube_pod_container_status_restarts_total{namespace=""infoblox"", pod=~""cdc.*""} == 0)","count(kube_pod_container_status_restarts_total{namespace=""infoblox"", pod=~""cdc.*""})",CDC Team,Container health
,,Pods without ImagePullBackOff,100%,P1,No,Prometheus,Counter,Availability,"count(kube_pod_container_status_waiting_reason{namespace=""infoblox"", pod=~""cdc.*""} != ""ImagePullBackOff"")","count(kube_pod_container_status_waiting_reason{namespace=""infoblox"", pod=~""cdc.*""})",CDC Team,Deployment reliability
,,Pod restarts per hour,< 1 restart/hour,P1,No,Prometheus,Counter,Error Rate,"sum(rate(kube_pod_container_status_restarts_total{namespace=""infoblox"", pod=~""cdc.*""}[1h]))","count(kube_pod_container_status_restarts_total{namespace=""infoblox"", pod=~""cdc.*""})",CDC Team,Container stability
,,Container open sockets,Monitor trend,P2,No,Prometheus,Gauge,Throughput,"sum(container_sockets{namespace=""infoblox"", pod=~""cdc.*""})","count(kube_pod_info{namespace=""infoblox"", pod=~""cdc.*""})",CDC Team,Resource utilization
,,OOM events,0 events,P1,No,Prometheus,Counter,Error Rate,"sum(container_memory_failures_total{namespace=""infoblox"", pod=~""cdc.*"", type=""oom""})","count(kube_pod_info{namespace=""infoblox"", pod=~""cdc.*""})",CDC Team,Memory management
CDC Flow,Flow Details Dashboard,Flows in Online status,Monitor growth,P1,No,cdc flow db,Counter,Availability,"count(cdc_flow_status{account_id=~""$account_id"", flow_id=~""$flow_id""} == 1)","count(cdc_flow_status{account_id=~""$account_id"", flow_id=~""$flow_id""})",CDC Team,Core business metric
